Drug ID,Drug name,Target ID,Target name,Score,label
DB00368,Norepinephrine,P35348,ADRA1A,1.0311,1
DB00543,Amoxapine,P08913,ADRA2A,1.0305,1
DB01200,Bromocriptine,P28221,HTR1D,1.0305,1
DB01224,Quetiapine,P35462,DRD3,1.0304,1
DB00231,Temazepam,P47870,GABRB2,1.0303,1
DB00248,Cabergoline,P28222,HTR1B,1.0303,1
DB00714,Apomorphine,P21728,DRD1,1.0301,1
DB00216,Eletriptan,P28221,HTR1D,1.0298,1
DB00690,Flurazepam,P14867,GABRA1,1.0297,1
DB00186,Lorazepam,P18505,GABRB1,1.0291,1
DB01186,Pergolide,P08908,HTR1A,1.0289,1
DB06216,Asenapine,P21728,DRD1,1.027,1
DB01136,Carvedilol,P07550,ADRB2,1.0262,1
DB00231,Temazepam,Q99928,GABRG3,1.0258,1
DB01068,Clonazepam,P28472,GABRB3,1.0258,1
DB00652,Pentazocine,P41145,OPRK1,1.0252,1
DB00231,Temazepam,P34903,GABRA3,1.0245,1
DB00690,Flurazepam,P18507,GABRG2,1.0244,1
DB06216,Asenapine,P28222,HTR1B,1.0241,1
DB01242,Clomipramine,P14416,DRD2,1.024,0
DB01224,Quetiapine,P08908,HTR1A,1.0239,1
DB01193,Acebutolol,P08588,ADRB1,1.0233,1
DB00475,Chlordiazepoxide,P18507,GABRG2,1.0231,1
DB01200,Bromocriptine,P28223,HTR2A,1.0224,1
DB00674,Galantamine,P36544,CHRNA7,1.022,1
DB00925,Phenoxybenzamine,P08913,ADRA2A,1.0195,1
DB00404,Alprazolam,P14867,GABRA1,1.0189,1
DB01242,Clomipramine,P08913,ADRA2A,1.0189,0
DB00661,Verapamil,Q13936,CACNA1C,1.0186,1
DB00363,Clozapine,P20309,CHRM3,1.0182,1
DB01224,Quetiapine,P28223,HTR2A,1.0176,1
DB00231,Temazepam,P18507,GABRG2,1.0169,1
DB00842,Oxazepam,P28472,GABRB3,1.0169,1
DB01195,Flecainide,Q14524,SCN5A,1.0167,1
DB06216,Asenapine,P18089,ADRA2B,1.0165,1
DB01200,Bromocriptine,P08913,ADRA2A,1.0162,1
DB01224,Quetiapine,P08173,CHRM4,1.0157,1
DB01215,Estazolam,P47870,GABRB2,1.0151,1
DB01215,Estazolam,P14867,GABRA1,1.015,1
DB00842,Oxazepam,P47870,GABRB2,1.0139,1
DB01595,Nitrazepam,Q99928,GABRG3,1.0137,1
DB00477,Chlorpromazine,P35348,ADRA1A,1.0136,1
DB00844,Nalbuphine,P35372,OPRM1,1.0134,1
DB00897,Triazolam,P34903,GABRA3,1.0133,1
DB01151,Desipramine,P35348,ADRA1A,1.0133,1
DB01595,Nitrazepam,P34903,GABRA3,1.0133,1
DB01595,Nitrazepam,Q8N1C3,GABRG1,1.0132,1
DB00363,Clozapine,P08173,CHRM4,1.013,1
DB01224,Quetiapine,P11229,CHRM1,1.013,1
DB01595,Nitrazepam,P18507,GABRG2,1.0129,1
DB00334,Olanzapine,P08912,CHRM5,1.0123,1
DB00829,Diazepam,P28472,GABRB3,1.0122,1
DB00408,Loxapine,P28223,HTR2A,1.0121,1
DB00231,Temazepam,O14764,GABRD,1.0119,1
DB00186,Lorazepam,P28472,GABRB3,1.0117,1
DB00186,Lorazepam,Q99928,GABRG3,1.0114,1
DB00714,Apomorphine,P08913,ADRA2A,1.0114,1
DB00248,Cabergoline,P28335,HTR2C,1.0107,1
DB01595,Nitrazepam,P28476,GABRR2,1.0107,1
DB00334,Olanzapine,P08173,CHRM4,1.0103,1
DB01068,Clonazepam,P18505,GABRB1,1.0101,1
DB00496,Darifenacin,P11229,CHRM1,1.0093,1
DB00268,Ropinirole,P28223,HTR2A,1.0087,1
DB00690,Flurazepam,P28476,GABRR2,1.0087,1
DB00696,Ergotamine,P35348,ADRA1A,1.0085,1
DB00683,Midazolam,P48169,GABRA4,1.0081,1
DB01595,Nitrazepam,P24046,GABRR1,1.007,1
DB00393,Nimodipine,Q13698,CACNA1S,1.0069,1
DB01215,Estazolam,Q8N1C3,GABRG1,1.0067,1
DB00376,Trihexyphenidyl,P11229,CHRM1,1.0066,1
DB06216,Asenapine,P08908,HTR1A,1.0061,1
DB06216,Asenapine,P18825,ADRA2C,1.0056,1
DB00897,Triazolam,P18507,GABRG2,1.0052,1
DB00418,Secobarbital,P14867,GABRA1,1.0049,1
DB01200,Bromocriptine,P35462,DRD3,1.0043,1
DB00571,Propranolol,P08588,ADRB1,1.0036,1
DB01200,Bromocriptine,P14416,DRD2,1.003,1
DB00413,Pramipexole,P08913,ADRA2A,1.0026,1
DB00683,Midazolam,P28472,GABRB3,1.0026,1
DB01577,Methamphetamine,P23975,SLC6A2,1.0025,1
DB00734,Risperidone,P11229,CHRM1,1.0024,0
DB01068,Clonazepam,Q99928,GABRG3,1.0017,1
DB00543,Amoxapine,P35348,ADRA1A,1.0015,1
DB01186,Pergolide,P21728,DRD1,1.0015,1
DB01193,Acebutolol,P07550,ADRB2,1.0015,1
DB00611,Butorphanol,P41145,OPRK1,1.0004,1
DB06204,Tapentadol,P35372,OPRM1,1.0002,1
DB00334,Olanzapine,P14416,DRD2,0.99976,1
DB00734,Risperidone,P08908,HTR1A,0.99923,1
DB00829,Diazepam,P48169,GABRA4,0.99911,0
DB00191,Phentermine,P31645,SLC6A4,0.99853,1
DB00268,Ropinirole,P08913,ADRA2A,0.9984,1
DB00231,Temazepam,P28472,GABRB3,0.99821,1
DB00186,Lorazepam,P28476,GABRR2,0.99806,1
DB01068,Clonazepam,Q8N1C3,GABRG1,0.99756,1
DB00690,Flurazepam,Q8N1C3,GABRG1,0.99736,1
DB01200,Bromocriptine,P18089,ADRA2B,0.99729,1
DB00652,Pentazocine,P35372,OPRM1,0.99722,1
DB00475,Chlordiazepoxide,Q99928,GABRG3,0.99696,1
DB00652,Pentazocine,P41143,OPRD1,0.99603,0
DB00575,Clonidine,P08913,ADRA2A,0.9956,1
DB00248,Cabergoline,P08913,ADRA2A,0.99528,1
DB01224,Quetiapine,P18825,ADRA2C,0.99512,1
DB00186,Lorazepam,P34903,GABRA3,0.99501,1
DB00690,Flurazepam,P34903,GABRA3,0.99491,1
DB00897,Triazolam,P28472,GABRB3,0.99474,1
DB00572,Atropine,P11229,CHRM1,0.99463,1
DB00363,Clozapine,P35462,DRD3,0.99424,1
DB00497,Oxycodone,P41145,OPRK1,0.99408,1
DB01068,Clonazepam,P18507,GABRG2,0.9939,1
DB00321,Amitriptyline,P28223,HTR2A,0.99352,1
DB01406,Danazol,P10275,AR,0.99319,1
DB00186,Lorazepam,O14764,GABRD,0.99292,1
DB01238,Aripiprazole,P08908,HTR1A,0.99265,1
DB06216,Asenapine,P14416,DRD2,0.99262,1
DB00690,Flurazepam,Q99928,GABRG3,0.99249,1
DB00960,Pindolol,P08588,ADRB1,0.99247,1
DB00318,Codeine,P41145,OPRK1,0.99239,1
DB01215,Estazolam,P28472,GABRB3,0.99146,1
DB00404,Alprazolam,P28472,GABRB3,0.9914,1
DB01068,Clonazepam,P14867,GABRA1,0.99138,1
DB00605,Sulindac,P35354,PTGS2,0.99082,1
DB00842,Oxazepam,Q8N1C3,GABRG1,0.99074,1
DB00315,Zolmitriptan,P08908,HTR1A,0.99062,1
DB06204,Tapentadol,P41143,OPRD1,0.99061,1
DB01068,Clonazepam,P48169,GABRA4,0.99037,1
DB01185,Fluoxymesterone,P04150,NR3C1,0.99029,1
DB00363,Clozapine,P14416,DRD2,0.98989,1
DB01591,Solifenacin,P20309,CHRM3,0.98909,1
DB06216,Asenapine,P08913,ADRA2A,0.98865,1
DB00540,Nortriptyline,P20309,CHRM3,0.98857,1
DB00404,Alprazolam,P18505,GABRB1,0.98848,1
DB00734,Risperidone,P35348,ADRA1A,0.98745,1
DB00321,Amitriptyline,P23975,SLC6A2,0.9869,1
DB01200,Bromocriptine,P35348,ADRA1A,0.98668,1
DB00497,Oxycodone,P35372,OPRM1,0.98657,1
DB01159,Halothane,Q12791,KCNMA1,0.98652,1
DB00784,Mefenamic acid,P35354,PTGS2,0.98635,1
DB00413,Pramipexole,P28222,HTR1B,0.9861,1
DB00349,Clobazam,P47870,GABRB2,0.98578,1
DB00186,Lorazepam,P47870,GABRB2,0.98568,1
DB01238,Aripiprazole,P28223,HTR2A,0.98561,1
DB00268,Ropinirole,P21728,DRD1,0.98553,1
DB00897,Triazolam,P14867,GABRA1,0.98542,1
DB06216,Asenapine,P28221,HTR1D,0.9853,0
DB00690,Flurazepam,P24046,GABRR1,0.98522,1
DB00349,Clobazam,Q8N1C3,GABRG1,0.98485,1
DB00572,Atropine,P20309,CHRM3,0.98481,1
DB00475,Chlordiazepoxide,P18505,GABRB1,0.98429,1
DB00315,Zolmitriptan,P28221,HTR1D,0.98414,1
DB01215,Estazolam,P18507,GABRG2,0.98337,1
DB06216,Asenapine,P35462,DRD3,0.98337,1
DB00404,Alprazolam,P18507,GABRG2,0.9833,1
DB00829,Diazepam,Q99928,GABRG3,0.98328,1
DB00413,Pramipexole,P28221,HTR1D,0.98278,1
DB00475,Chlordiazepoxide,P24046,GABRR1,0.98277,1
DB00897,Triazolam,P24046,GABRR1,0.98259,1
DB01595,Nitrazepam,P18505,GABRB1,0.98247,1
DB00540,Nortriptyline,P23975,SLC6A2,0.98242,1
DB00334,Olanzapine,P18089,ADRA2B,0.98239,1
DB00231,Temazepam,P28476,GABRR2,0.98223,1
DB01069,Promethazine,P20309,CHRM3,0.98215,1
DB00842,Oxazepam,P18507,GABRG2,0.98182,1
DB00334,Olanzapine,P08908,HTR1A,0.98125,1
DB00327,Hydromorphone,P41145,OPRK1,0.98092,1
DB06216,Asenapine,P08588,ADRB1,0.98081,1
DB00696,Ergotamine,P28221,HTR1D,0.98052,1
DB01142,Doxepin,P11229,CHRM1,0.98026,1
DB01186,Pergolide,P35348,ADRA1A,0.9802,1
DB00475,Chlordiazepoxide,Q8N1C3,GABRG1,0.98013,1
DB00268,Ropinirole,P08908,HTR1A,0.9795,1
DB01558,Bromazepam,P47870,GABRB2,0.97924,1
DB00191,Phentermine,Q01959,SLC6A3,0.97888,1
DB01104,Sertraline,P31645,SLC6A4,0.97856,1
DB00334,Olanzapine,P28335,HTR2C,0.97837,1
DB00842,Oxazepam,P18505,GABRB1,0.9782,1
DB00376,Trihexyphenidyl,P08172,CHRM2,0.97796,1
DB00248,Cabergoline,P18089,ADRA2B,0.97731,1
DB00953,Rizatriptan,P28221,HTR1D,0.97668,1
DB00651,Dyphylline,Q07343,PDE4B,0.97666,1
DB00909,Zonisamide,P00918,CA2,0.97637,1
DB00475,Chlordiazepoxide,P28472,GABRB3,0.97631,1
DB00714,Apomorphine,P35462,DRD3,0.97621,1
DB00651,Dyphylline,P27815,PDE4A,0.97582,1
DB00543,Amoxapine,P28223,HTR2A,0.97553,0
DB00540,Nortriptyline,P08173,CHRM4,0.97543,1
DB00268,Ropinirole,P28221,HTR1D,0.97488,1
DB01577,Methamphetamine,P31645,SLC6A4,0.97463,1
DB00475,Chlordiazepoxide,P47870,GABRB2,0.97442,1
DB00268,Ropinirole,P28335,HTR2C,0.97427,1
DB00674,Galantamine,P32297,CHRNA3,0.97409,1
DB00831,Trifluoperazine,P62158,CALM1,0.97386,1
DB01291,Pirbuterol,P07550,ADRB2,0.97372,1
DB00842,Oxazepam,P24046,GABRR1,0.97354,1
DB00363,Clozapine,P28223,HTR2A,0.97295,1
DB01200,Bromocriptine,P28335,HTR2C,0.97259,1
DB00413,Pramipexole,P18089,ADRA2B,0.9724,1
DB00598,Labetalol,P07550,ADRB2,0.97226,1
DB01069,Promethazine,P08172,CHRM2,0.97211,1
DB00404,Alprazolam,P48169,GABRA4,0.972,1
DB01238,Aripiprazole,P28222,HTR1B,0.97176,1
DB00897,Triazolam,Q8N1C3,GABRG1,0.97171,1
DB00897,Triazolam,P47870,GABRB2,0.97164,1
DB00413,Pramipexole,P28223,HTR2A,0.97161,1
DB00368,Norepinephrine,P07550,ADRB2,0.97125,1
DB00321,Amitriptyline,P20309,CHRM3,0.97121,1
DB00937,Diethylpropion,Q01959,SLC6A3,0.97077,1
DB01068,Clonazepam,O14764,GABRD,0.97037,1
DB00363,Clozapine,P28335,HTR2C,0.97025,1
DB01062,Oxybutynin,P11229,CHRM1,0.97024,1
DB01591,Solifenacin,P08172,CHRM2,0.96997,1
DB00690,Flurazepam,P28472,GABRB3,0.96977,1
DB01215,Estazolam,P34903,GABRA3,0.96977,1
DB00679,Thioridazine,P35348,ADRA1A,0.96957,1
DB01558,Bromazepam,P34903,GABRA3,0.96943,1
DB01558,Bromazepam,P14867,GABRA1,0.96938,1
DB00496,Darifenacin,P20309,CHRM3,0.96926,1
DB00952,Naratriptan,P28221,HTR1D,0.96924,1
DB00829,Diazepam,P47870,GABRB2,0.96923,1
DB00268,Ropinirole,P35462,DRD3,0.96917,1
DB01062,Oxybutynin,P20309,CHRM3,0.9691,1
DB01142,Doxepin,P08913,ADRA2A,0.96905,1
DB01156,Bupropion,Q01959,SLC6A3,0.96904,1
DB00794,Primidone,P36544,CHRNA7,0.96808,1
DB01151,Desipramine,P28223,HTR2A,0.96775,1
DB00396,Progesterone,P04150,NR3C1,0.96736,0
DB01224,Quetiapine,P08913,ADRA2A,0.96707,1
DB00734,Risperidone,P28222,HTR1B,0.96681,0
DB00674,Galantamine,P43681,CHRNA4,0.96653,1
DB00960,Pindolol,P07550,ADRB2,0.96616,1
DB00246,Ziprasidone,P21728,DRD1,0.96606,1
DB00696,Ergotamine,P28222,HTR1B,0.96594,1
DB00328,Indomethacin,P35354,PTGS2,0.96563,1
DB01159,Halothane,P03886,MT-ND1,0.96519,1
DB00714,Apomorphine,P18089,ADRA2B,0.96493,1
DB01238,Aripiprazole,P35462,DRD3,0.96443,1
DB00408,Loxapine,P21728,DRD1,0.96436,1
DB01162,Terazosin,P35348,ADRA1A,0.9642,1
DB00191,Phentermine,P23975,SLC6A2,0.96406,1
DB01238,Aripiprazole,P18089,ADRA2B,0.96406,1
DB01142,Doxepin,P28223,HTR2A,0.96392,1
DB00334,Olanzapine,P28223,HTR2A,0.96385,1
DB00186,Lorazepam,P48169,GABRA4,0.96357,1
DB00321,Amitriptyline,P08173,CHRM4,0.96349,1
DB01224,Quetiapine,P21917,DRD4,0.9634,1
DB00842,Oxazepam,P34903,GABRA3,0.96329,1
DB01215,Estazolam,P18505,GABRB1,0.96321,1
DB00475,Chlordiazepoxide,P28476,GABRR2,0.96316,1
DB00321,Amitriptyline,P31645,SLC6A4,0.96312,1
DB00540,Nortriptyline,P31645,SLC6A4,0.96305,1
DB00690,Flurazepam,P18505,GABRB1,0.96301,1
DB01050,Ibuprofen,P35354,PTGS2,0.96259,1
DB06216,Asenapine,P28335,HTR2C,0.9625,1
DB00268,Ropinirole,P28222,HTR1B,0.96238,1
DB01595,Nitrazepam,P14867,GABRA1,0.96216,1
DB01064,Isoproterenol,P08588,ADRB1,0.96208,1
DB00246,Ziprasidone,P28223,HTR2A,0.96194,1
DB01068,Clonazepam,P47870,GABRB2,0.96191,1
DB00349,Clobazam,P28472,GABRB3,0.9619,1
DB00690,Flurazepam,O14764,GABRD,0.96171,1
DB01618,Molindone,P14416,DRD2,0.96147,1
DB00388,Phenylephrine,P35348,ADRA1A,0.96137,1
DB01224,Quetiapine,P34969,HTR7,0.96129,1
DB01174,Phenobarbital,P14867,GABRA1,0.9612,1
DB00540,Nortriptyline,P28223,HTR2A,0.96116,1
DB00404,Alprazolam,Q8N1C3,GABRG1,0.96105,1
DB00712,Flurbiprofen,P35354,PTGS2,0.96098,1
DB01591,Solifenacin,P11229,CHRM1,0.96072,1
DB00999,Hydrochlorothiazide,P00918,CA2,0.96067,1
DB00334,Olanzapine,P08913,ADRA2A,0.96026,1
DB00231,Temazepam,P18505,GABRB1,0.96009,1
DB00334,Olanzapine,P18825,ADRA2C,0.95987,1
DB00475,Chlordiazepoxide,O14764,GABRD,0.95963,1
DB01238,Aripiprazole,P21728,DRD1,0.95936,1
DB01558,Bromazepam,P18507,GABRG2,0.95896,1
DB00835,Brompheniramine,P11229,CHRM1,0.95883,1
DB00321,Amitriptyline,P35348,ADRA1A,0.95853,1
DB01558,Bromazepam,P28472,GABRB3,0.95852,1
DB00842,Oxazepam,Q99928,GABRG3,0.95822,1
DB00349,Clobazam,P14867,GABRA1,0.95785,1
DB00842,Oxazepam,P28476,GABRR2,0.95777,1
DB01595,Nitrazepam,O14764,GABRD,0.95765,1
DB01242,Clomipramine,P28223,HTR2A,0.95734,1
DB00991,Oxaprozin,P35354,PTGS2,0.95732,1
DB00668,Epinephrine,P07550,ADRB2,0.95731,1
DB00404,Alprazolam,Q99928,GABRG3,0.95675,1
DB01558,Bromazepam,P48169,GABRA4,0.95673,1
DB00734,Risperidone,P14416,DRD2,0.95672,1
DB00349,Clobazam,Q99928,GABRG3,0.95647,1
DB00231,Temazepam,P24046,GABRR1,0.95638,1
DB01186,Pergolide,P18089,ADRA2B,0.95631,1
DB06216,Asenapine,P35348,ADRA1A,0.95581,1
DB01104,Sertraline,P23975,SLC6A2,0.95524,0
DB00327,Hydromorphone,P35372,OPRM1,0.95519,1
DB01337,Pancuronium,P08172,CHRM2,0.95502,1
DB00861,Diflunisal,P35354,PTGS2,0.9547,1
DB00952,Naratriptan,P08908,HTR1A,0.95462,1
DB01215,Estazolam,Q99928,GABRG3,0.95461,1
DB00363,Clozapine,P08913,ADRA2A,0.95459,1
DB00315,Zolmitriptan,P28222,HTR1B,0.95382,1
DB00264,Metoprolol,P08588,ADRB1,0.95377,1
DB06216,Asenapine,P35368,ADRA1B,0.95373,0
DB06216,Asenapine,P28223,HTR2A,0.95368,1
DB00622,Nicardipine,P35348,ADRA1A,0.95351,1
DB01200,Bromocriptine,P18825,ADRA2C,0.95323,1
DB00413,Pramipexole,P28335,HTR2C,0.95317,1
DB00475,Chlordiazepoxide,P48169,GABRA4,0.95314,1
DB00368,Norepinephrine,P08588,ADRB1,0.95311,1
DB00404,Alprazolam,P34903,GABRA3,0.95298,1
DB00683,Midazolam,P18505,GABRB1,0.95291,1
DB01591,Solifenacin,P08173,CHRM4,0.95279,1
DB00248,Cabergoline,P18825,ADRA2C,0.95275,1
DB00998,Frovatriptan,P28221,HTR1D,0.95253,1
DB00413,Pramipexole,P14416,DRD2,0.95252,1
DB00393,Nimodipine,Q08289,CACNB2,0.95241,1
DB00829,Diazepam,Q8N1C3,GABRG1,0.95232,1
DB00408,Loxapine,P18089,ADRA2B,0.95219,0
DB00363,Clozapine,P11229,CHRM1,0.95182,1
DB00586,Diclofenac,P35354,PTGS2,0.95171,1
DB01558,Bromazepam,P18505,GABRB1,0.95151,1
DB00398,Sorafenib,P09619,PDGFRB,0.95097,1
DB00186,Lorazepam,P24046,GABRR1,0.95086,1
DB06204,Tapentadol,P31645,SLC6A4,0.95072,1
DB01224,Quetiapine,P28222,HTR1B,0.95051,1
DB01242,Clomipramine,P35348,ADRA1A,0.95047,0
DB00714,Apomorphine,P18825,ADRA2C,0.95033,1
DB00734,Risperidone,P18089,ADRA2B,0.95028,1
DB00622,Nicardipine,Q13936,CACNA1C,0.95022,1
DB00393,Nimodipine,Q01668,CACNA1D,0.95017,1
DB00496,Darifenacin,P08172,CHRM2,0.95005,1
DB01238,Aripiprazole,P28221,HTR1D,0.95002,1
DB01224,Quetiapine,P08912,CHRM5,0.94974,1
DB00668,Epinephrine,P35348,ADRA1A,0.94951,1
DB00829,Diazepam,P18507,GABRG2,0.94924,1
DB01186,Pergolide,P28221,HTR1D,0.94919,1
DB00349,Clobazam,P18507,GABRG2,0.94905,1
DB00728,Rocuronium,Q15822,CHRNA2,0.94902,1
DB01226,Mivacurium,Q15822,CHRNA2,0.94889,1
DB00195,Betaxolol,P07550,ADRB2,0.94826,1
DB00231,Temazepam,P48169,GABRA4,0.94799,1
DB00458,Imipramine,P08173,CHRM4,0.94798,1
DB00363,Clozapine,P08908,HTR1A,0.94764,1
DB01194,Brinzolamide,P00918,CA2,0.9475,1
DB00598,Labetalol,P08588,ADRB1,0.94745,1
DB00683,Midazolam,P18507,GABRG2,0.94731,1
DB00835,Brompheniramine,P20309,CHRM3,0.94731,1
DB01186,Pergolide,P28222,HTR1B,0.94708,1
DB00573,Fenoprofen,P35354,PTGS2,0.94701,1
DB00202,Succinylcholine,P20309,CHRM3,0.94698,1
DB01558,Bromazepam,P24046,GABRR1,0.94698,1
DB00897,Triazolam,Q99928,GABRG3,0.94679,1
DB06216,Asenapine,P30939,HTR1F,0.94637,0
DB00953,Rizatriptan,P28222,HTR1B,0.94618,1
DB00897,Triazolam,P28476,GABRR2,0.9456,1
DB00898,Ethanol,P14867,GABRA1,0.94558,1
DB00327,Hydromorphone,P41143,OPRD1,0.94545,1
DB00897,Triazolam,P18505,GABRB1,0.94495,1
DB00554,Piroxicam,P35354,PTGS2,0.94484,1
DB00413,Pramipexole,P18825,ADRA2C,0.9448,1
DB00202,Succinylcholine,P08172,CHRM2,0.94459,1
DB01215,Estazolam,P28476,GABRR2,0.94447,1
DB00897,Triazolam,O14764,GABRD,0.94439,1
DB00349,Clobazam,P34903,GABRA3,0.94413,1
DB00408,Loxapine,P28335,HTR2C,0.94404,1
DB00543,Amoxapine,P08908,HTR1A,0.94394,0
DB00696,Ergotamine,P08913,ADRA2A,0.94358,1
DB00228,Enflurane,P14867,GABRA1,0.94354,1
DB00683,Midazolam,P47870,GABRB2,0.94338,1
DB00477,Chlorpromazine,P21728,DRD1,0.94327,1
DB00611,Butorphanol,P41143,OPRD1,0.94319,1
DB00404,Alprazolam,P47870,GABRB2,0.94308,1
DB00952,Naratriptan,P28222,HTR1B,0.94277,1
DB00753,Isoflurane,P14867,GABRA1,0.94253,1
DB01162,Terazosin,P25100,ADRA1D,0.94224,1
DB00349,Clobazam,P28476,GABRR2,0.94217,1
DB00734,Risperidone,P28221,HTR1D,0.94213,1
DB00368,Norepinephrine,P25100,ADRA1D,0.94209,1
DB00831,Trifluoperazine,P14416,DRD2,0.9418,1
DB00540,Nortriptyline,P11229,CHRM1,0.94156,1
DB00393,Nimodipine,Q13936,CACNA1C,0.94155,1
DB00413,Pramipexole,P08908,HTR1A,0.9413,1
DB00521,Carteolol,P08588,ADRB1,0.94121,1
DB00521,Carteolol,P07550,ADRB2,0.9411,1
DB00683,Midazolam,P34903,GABRA3,0.9411,1
DB00806,Pentoxifylline,P30542,ADORA1,0.94089,1
DB00573,Fenoprofen,P23219,PTGS1,0.94076,1
DB00246,Ziprasidone,P18089,ADRA2B,0.94022,1
DB01156,Bupropion,P23975,SLC6A2,0.94022,1
DB06216,Asenapine,P21917,DRD4,0.94021,1
DB00998,Frovatriptan,P28222,HTR1B,0.94011,1
DB00334,Olanzapine,P28221,HTR1D,0.93978,1
DB00363,Clozapine,P18089,ADRA2B,0.93963,1
DB01151,Desipramine,P08173,CHRM4,0.93944,1
DB00909,Zonisamide,Q14524,SCN5A,0.93943,1
DB00734,Risperidone,P20309,CHRM3,0.93929,0
DB00349,Clobazam,O14764,GABRD,0.93926,1
DB00277,Theophylline,P30542,ADORA1,0.93924,1
DB01068,Clonazepam,P24046,GABRR1,0.93904,1
DB00835,Brompheniramine,P08172,CHRM2,0.93879,1
DB00683,Midazolam,Q8N1C3,GABRG1,0.93875,1
DB00829,Diazepam,P24046,GABRR1,0.93855,1
DB01224,Quetiapine,P20309,CHRM3,0.93846,1
DB01068,Clonazepam,P28476,GABRR2,0.93815,1
DB00623,Fluphenazine,P14416,DRD2,0.93808,1
DB00334,Olanzapine,P28222,HTR1B,0.93804,1
DB00368,Norepinephrine,P08913,ADRA2A,0.93799,1
DB00668,Epinephrine,P08588,ADRB1,0.93778,1
DB04896,Milnacipran,P31645,SLC6A4,0.93778,1
DB00285,Venlafaxine,P31645,SLC6A4,0.93774,1
DB01036,Tolterodine,P11229,CHRM1,0.9377,1
DB00334,Olanzapine,P35462,DRD3,0.93746,1
DB00349,Clobazam,P18505,GABRB1,0.93716,1
DB00363,Clozapine,P08912,CHRM5,0.93709,1
DB01069,Promethazine,P11229,CHRM1,0.93676,1
DB00850,Perphenazine,P62158,CALM1,0.93657,1
DB01215,Estazolam,O14764,GABRD,0.93644,1
DB00264,Metoprolol,P07550,ADRB2,0.93641,1
DB01577,Methamphetamine,Q01959,SLC6A3,0.93609,1
DB00411,Carbachol,P08172,CHRM2,0.93597,1
DB01068,Clonazepam,P34903,GABRA3,0.93568,1
DB00349,Clobazam,P48169,GABRA4,0.93558,1
DB00683,Midazolam,Q99928,GABRG3,0.93526,1
DB00697,Tizanidine,P08913,ADRA2A,0.93521,1
DB01186,Pergolide,P35462,DRD3,0.935,1
